,lic_count,co_name
11,666,Alachua
12,44,Baker
13,631,Bay
14,47,Bradford
15,1438,Brevard
16,4982,Broward
17,21,Calhoun
18,409,Charlotte
19,336,Citrus
20,370,Clay
21,1141,Collier
22,162,Columbia
23,7859,Dade
24,50,DeSoto
25,19,Dixie
26,2812,Duval
27,798,Escambia
28,233,Flagler
29,50,Franklin
30,91,Gadsden
31,16,Gilchrist
32,15,Glades
33,47,Gulf
34,26,Hamilton
35,53,Hardee
36,82,Hendry
37,366,Hernando
38,205,Highlands
39,3639,Hillsborough
40,23,Holmes
41,391,Indian River
42,95,Jackson
43,36,Jefferson
44,7,Lafayette
45,757,Lake
46,2050,Lee
47,846,Leon
48,89,Levy
49,5,Liberty
50,36,Madison
51,909,Manatee
52,734,Marion
53,526,Martin
54,677,Monroe
55,226,Nassau
56,702,Okaloosa
57,100,Okeechobee
58,5150,Orange
59,1050,Osceola
60,3780,Palm Beach
61,855,Pasco
62,2856,Pinellas
63,1311,Polk
64,123,Putnam
65,736,St. Johns
66,623,St. Lucie
67,292,Santa Rosa
68,1211,Sarasota
69,1042,Seminole
70,212,Sumter
71,70,Suwannee
72,49,Taylor
73,12,Union
74,1494,Volusia
75,58,Wakulla
76,335,Walton
77,39,Washington
